Data for absorption spectrum
Date: 21-Nov-2012
Data taken by P. Dubson and M. Sparks
time (ms)  signal  uncertainty
  0.2      42.8       0.8 
  1.4      37.2       0.5 
  2.7      28.2       0.8 
  3.9      24.7       0.8 
  5.1      26.5       0.7 
  6.4      32.8       0.8 
  7.6      39.5       1.1 
  8.8      38.4       1.1 
 10.1      30.8       0.8 
 11.3      24.7       0.6 
 12.5      23.8       0.8 
 13.8      27.3       0.7 
 15.0      32.3       1.2 
 16.2      31.9       0.9 
 17.5      28.0       0.9 
 18.7      21.5       0.6 
 19.9      21.3       0.9 
 21.1      21.4       1.1 
 22.4      25.2       0.8 
 23.6      24.3       0.9 
 24.8      26.0       0.9 
 26.1      21.8       0.9 
 27.3      18.4       0.7 
 28.5      19.8       1.1 
 29.8      19.9       0.8 
 31.0      20.3       0.9 
 32.2      21.8       0.7 
 33.5      20.5       0.6 
 34.7      19.7       1.0 
 35.9      19.0       0.8 
 37.2      19.4       0.7 
 38.4      18.6       0.8 
